COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,YEAR,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,Ozone
San Bernardino,2017-2018,Age groups,5-17 years,14.5,(1.2-27.8),2017,0.29817307692307693,0.05926923076923077,1.206923076923077,0.46826923076923077,0.06476923076923077,0.050576923076923075,0.20400000000000001,0.24682692307692308,0.6212884615384616,0.4401538461538462,0.168,0.7210769230769232,1.809,54.416938110749186
San Bernardino,2017-2018,Age groups,5-17 years,14.5,(1.2-27.8),2018,0.3698571428571429,0.09575510204081633,1.2597142857142858,0.4887551020408163,0.06387755102040817,0.06479591836734694,0.2582244897959184,0.23142857142857143,0.7891224489795918,0.33353061224489794,0.1273265306122449,0.7303673469387756,2.0288163265306123,59.82222222222222
Mariposa,2017-2018,Age groups,18-64 years,19.0,(3.7-34.2),2017,0.13988,0.022099999999999998,0.52172,0.2024,0.08452,0.02918,0.09008,0.2659,0.35696,0.39299999999999996,0.14998,0.6064,0.87042,44.170281995661604
Mariposa,2017-2018,Age groups,18-64 years,19.0,(3.7-34.2),2018,0.2785,0.03647916666666667,0.5422083333333333,0.210375,0.146375,0.0473125,0.11,0.32277083333333334,0.6378333333333334,0.4359583333333333,0.16641666666666666,0.5996041666666666,1.1712708333333335,68.73333333333333
San Bernardino,2017-2018,Age groups,18-64 years,8.8,(5.9-11.7),2017,0.29817307692307693,0.05926923076923077,1.206923076923077,0.46826923076923077,0.06476923076923077,0.050576923076923075,0.20400000000000001,0.24682692307692308,0.6212884615384616,0.4401538461538462,0.168,0.7210769230769232,1.809,54.416938110749186
San Bernardino,2017-2018,Age groups,18-64 years,8.8,(5.9-11.7),2018,0.3698571428571429,0.09575510204081633,1.2597142857142858,0.4887551020408163,0.06387755102040817,0.06479591836734694,0.2582244897959184,0.23142857142857143,0.7891224489795918,0.33353061224489794,0.1273265306122449,0.7303673469387756,2.0288163265306123,59.82222222222222
Shasta,2017-2018,Age groups,18-64 years,7.9,(2.7-13.0),2017,0.05266666666666667,0.02052941176470588,0.24245098039215687,0.09409803921568628,0.03476470588235294,0.013019607843137255,0.04856862745098039,0.12811764705882353,0.11980392156862746,0.2406470588235294,0.09180392156862746,0.2931372549019608,0.3583529411764706,43.41943127962085
Shasta,2017-2018,Age groups,18-64 years,7.9,(2.7-13.0),2018,0.09038297872340426,0.026085106382978722,0.25738297872340427,0.09985106382978723,0.06406382978723404,0.019617021276595745,0.06142553191489362,0.1652340425531915,0.19774468085106384,0.20268085106382977,0.07736170212765958,0.31470212765957445,0.45095744680851063,51.275862068965516
Tulare,2017-2018,Age groups,18-64 years,6.7,(2.6-10.8),2017,0.23373076923076924,0.032769230769230766,1.1645,0.4518846153846154,0.12076923076923077,0.051057692307692304,0.16386538461538463,0.5373461538461538,0.9920384615384615,0.7770384615384616,0.2966346153846154,1.074903846153846,2.1378846153846154,34.031007751937985
Tulare,2017-2018,Age groups,18-64 years,6.7,(2.6-10.8),2018,0.2802040816326531,0.04393877551020408,1.3302653061224488,0.5161428571428571,0.1406734693877551,0.06314285714285714,0.1984081632653061,0.5926734693877551,1.1819795918367346,0.9393877551020409,0.3585714285714286,1.1314081632653061,2.4910408163265303,49.146341463414636
